654,257,0
25,579,1
281,325,0
142,577,1
104,546,1
558,244,0
604,416,0
32,215,1
95,311,1
238,458,0
574,301,0
665,559,0
558,414,0
225,429,1
6,588,1
163,557,1
432,374,1
159,310,1
344,252,0
389,249,1
352,509,1
44,573,1
470,474,0
387,240,1
643,516,0
370,495,0
71,223,1
677,316,0
296,240,0
103,394,1
284,432,1
166,389,1
363,307,1
699,531,0
73,511,1
650,287,0
546,573,0
250,283,1
388,338,0
332,593,0
234,216,1
410,337,0
216,490,1
217,535,1
405,529,1
146,335,1
142,326,1
574,475,0
269,582,1
597,404,0
370,312,0
521,452,0
93,586,1
48,256,1
156,521,1
163,548,1
432,505,0
394,395,1
541,328,0
566,205,0
696,569,0
117,549,1
549,584,0
273,593,1
114,350,1
445,280,1
3,569,1
269,456,0
519,254,0
640,352,0
654,459,0
623,301,0
156,391,1
165,476,1
543,200,0
613,365,0
500,209,0
371,357,0
59,323,1
580,240,0
87,574,1
497,235,0
131,537,1
486,481,0
271,470,1
216,476,0
319,404,1
448,464,1
123,326,1
230,232,1
21,501,1
567,317,0
602,312,0
7,236,1
646,230,0
234,234,0
338,236,0
285,542,1
219,476,0
584,495,0
484,324,1
416,297,0
99,537,1
441,381,1
420,439,0
689,534,0
661,250,0
62,406,1
347,255,0
196,297,1
549,429,0
143,416,1
187,342,1
473,327,0
453,481,0
51,533,1
553,207,0
95,585,1
242,285,1
497,446,0
410,230,0
388,201,1
271,432,1
433,556,1
158,297,1
303,311,0
593,576,0
555,231,0
321,229,0
598,444,0
514,471,0
161,229,1
520,241,0
190,235,1
609,234,0
691,320,0
413,261,0
592,504,0
40,517,1
83,414,1
673,498,0
578,467,0
323,333,0
685,566,0
321,322,1
405,267,1
468,361,0
9,434,1
636,488,0
102,237,1
550,309,0
518,335,0
135,378,1
70,325,1
378,345,0
448,478,1
626,534,0
541,204,0
683,483,0
306,539,0
137,335,1
118,254,1
566,279,0
278,344,0
351,304,1
517,450,0
257,226,0
649,416,0
283,222,0
341,594,0
652,334,0
165,579,1
452,482,1
574,204,0
114,238,1
152,479,1
36,389,1
596,482,0
151,420,1
130,221,1
315,386,0
366,307,0
682,252,0
362,599,1
635,583,0
158,321,1
166,290,1
422,212,0
340,600,1
685,576,0
254,336,0
110,395,1
39,440,1
227,302,1
358,356,0
228,212,0
408,368,1
71,595,1
285,379,1
695,474,0
339,214,0
267,291,1
39,255,1
610,422,0
353,573,1
446,510,0
394,495,0
260,222,1
1,466,1
551,551,0
686,300,0
372,420,0
680,369,0
638,360,0
679,263,0
307,459,1
682,409,0
334,406,1
567,265,0
196,415,1
680,394,0
693,583,0
178,515,1
582,354,0
415,480,0
311,346,0
440,496,1
476,426,1
691,309,0
523,442,0
173,537,1
86,345,1
527,539,0
648,517,0
343,247,0
688,358,0
230,301,0
25,223,1
250,443,0
